"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-12-30","406","404","2","0.49","202,297"
"2022-12-29","410","406","4","0.99","41,777"
"2022-12-28","378","402","-24","5.63","336,351"
"2022-12-27","396","426","-30","6.57","441,545"
"2022-12-26","462","456","6","1.33","188,664"
"2022-12-23","440","450","-10","2.17","110,966"
"2022-12-22","466","460","6","1.32","323,548"
"2022-12-21","464","454","10","2.25","227,072"
"2022-12-20","446","444","2","0.45","39,212"
"2022-12-19","434","442","-8","1.77","98,182"
"2022-12-16","444","450","-6","1.31","97,003"
"2022-12-15","454","456","-2","0.43","107,221"
"2022-12-14","460","458","2","0.43","370,548"
"2022-12-13","468","456","12","2.70","197,807"
"2022-12-12","442","444","-2","0.44","57,632"
"2022-12-09","434","446","-12","2.62","85,381"
"2022-12-08","454","458","-4","0.86","155,398"
"2022-12-07","450","462","-12","2.53","144,317"
"2022-12-06","466","474","-8","1.65","197,704"
"2022-12-05","464","482","-18","3.59","331,524"
"2022-12-02","524","500","24","5.04","391,196"
"2022-12-01","480","478","2","0.42","119,575"
"2022-11-30","466","476","-10","2.05","148,916"
"2022-11-29","488","486","2","0.41","134,776"
"2022-11-28","453","484","-31","6.01","520,210"
"2022-11-25","500","515","-15","2.83","114,948"
"2022-11-24","540","530","10","1.92","260,034"
"2022-11-23","525","520","5","0.97","144,444"
"2022-11-22","505","515","-10","1.90","228,337"
"2022-11-21","520","525","-5","0.94","137,334"
"2022-11-18","520","530","-10","1.85","224,619"
"2022-11-17","555","540","15","2.85","248,648"
"2022-11-16","535","530","5","0.95","75,170"
"2022-11-14","510","525","-15","2.77","345,061"
"2022-11-11","570","540","30","5.88","899,488"
"2022-11-10","490","510","-20","3.77","271,247"
"2022-11-09","540","530","10","1.92","293,063"
"2022-11-08","505","520","-15","2.80","298,671"
"2022-11-07","550","535","15","2.88","187,258"
"2022-11-04","500","520","-20","3.70","314,816"
"2022-11-03","535","540","-5","0.91","333,146"
"2022-11-02","535","545","-10","1.80","297,765"
"2022-11-01","515","555","-40","6.72","574,801"
"2022-10-31","570","595","-25","4.03","353,301"
"2022-10-28","605","620","-15","2.36","216,056"
"2022-10-27","650","635","15","2.41","548,337"
"2022-10-26","585","620","-35","5.34","410,754"
"2022-10-25","675","655","20","3.14","1,169,556"
"2022-10-24","720","635","85","15.45","1,171,925"
"2022-10-21","580","550","30","5.76","756,451"
"2022-10-20","505","520","-15","2.80","230,183"
"2022-10-19","560","535","25","4.90","940,566"
"2022-10-18","548","510","38","8.05","595,453"
"2022-10-17","456","472","-16","3.27","179,762"
"2022-10-14","461","488","-27","5.24","369,345"
"2022-10-13","485","515","-30","5.50","191,616"
"2022-10-12","510","545","-35","6.03","323,149"
"2022-10-11","560","580","-20","3.33","70,008"
"2022-10-10","590","595","-5","0.83","94,411"
"2022-10-06","625","600","25","4.34","334,816"
"2022-10-05","590","575","15","2.67","115,955"
"2022-10-04","565","560","5","0.90","78,490"
"2022-10-03","560","555","5","0.90","105,863"
"2022-09-30","520","550","-30","5.17","346,073"
"2022-09-29","550","580","-30","4.91","293,688"
"2022-09-28","600","610","-10","1.61","134,185"
"2022-09-27","610","615","-5","0.80","87,905"
"2022-09-26","600","620","-20","3.12","159,684"
"2022-09-23","650","640","10","1.58","479,868"
"2022-09-22","640","630","10","1.61","186,172"
"2022-09-21","615","620","-5","0.80","113,342"
