"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-12-30","2,820","2,700","120","4.65","629"
"2022-12-29","2,560","2,580","-20","0.76","65"
"2022-12-28","2,710","2,600","110","4.41","106"
"2022-12-27","2,380","2,490","-110","4.23","131"
"2022-12-26","2,510","2,600","-90","3.34","114"
"2022-12-23","2,860","2,690","170","6.74","238"
"2022-12-22","2,720","2,520","200","8.62","427"
"2022-12-21","2,380","2,320","60","2.65","72"
"2022-12-20","2,380","2,320","60","2.65","73"
"2022-12-19","2,220","2,260","-40","1.73","448"
"2022-12-16","2,430","2,300","130","5.99","184"
"2022-12-15","2,200","2,170","30","1.40","64"
"2022-12-14","2,130","2,140","-10","0.46","58"
"2022-12-13","2,170","2,150","20","0.93","201"
"2022-12-12","1,970","2,130","-160","6.98","369"
"2022-12-09","2,440","2,290","150","7.00","987"
"2022-12-08","1,980","2,140","-160","6.95","119"
"2022-12-07","2,130","2,300","-170","6.88","663"
"2022-12-06","2,290","2,470","-180","6.79","1,550"
"2022-12-05","2,900","2,650","250","10.41","2,002"
"2022-12-02","2,310","2,400","-90","3.61","78"
"2022-12-01","2,550","2,490","60","2.46","57"
"2022-11-30","2,560","2,430","130","5.65","1,922"
"2022-11-29","2,420","2,300","120","5.50","2,099"
"2022-11-25","2,340","2,180","160","7.92","774"
"2022-11-24","2,040","2,020","20","1.00","3,202"
"2022-11-23","1,950","2,000","-50","2.43","337"
"2022-11-22","2,060","2,050","10","0.49","40"
"2022-11-16","2,030","2,040","-10","0.48","1"
"2022-11-14","1,970","2,050","-80","3.75","17"
"2022-11-11","1,970","2,130","-160","6.98","426"
"2022-11-09","2,310","2,290","20","0.88","173"
"2022-11-08","2,260","2,270","-10","0.43","123"
"2022-11-07","2,250","2,280","-30","1.29","217"
"2022-11-04","2,280","2,310","-30","1.28","126"
"2022-11-03","2,320","2,340","-20","0.84","118"
"2022-11-02","2,340","2,360","-20","0.84","120"
"2022-11-01","2,360","2,380","-20","0.83","132"
"2022-10-31","2,410","2,400","10","0.41","127"
"2022-10-28","2,370","2,390","-20","0.82","197"
"2022-10-27","2,430","2,410","20","0.83","116"
"2022-10-26","2,380","2,390","-10","0.41","220"
"2022-10-25","2,420","2,400","20","0.84","4,543"
"2022-10-24","2,440","2,410","30","1.26","4,585"
"2022-10-21","2,400","2,380","20","0.84","5,432"
"2022-10-20","2,410","2,360","50","2.16","2,588"
"2022-10-19","2,290","2,310","-20","0.85","162"
"2022-10-18","2,390","2,330","60","2.64","214"
"2022-10-17","2,100","2,270","-170","6.96","376"
"2022-10-13","2,430","2,440","-10","0.40","148"
"2022-10-12","2,480","2,450","30","1.23","212"
"2022-10-11","2,410","2,420","-10","0.41","172"
"2022-10-10","2,400","2,430","-30","1.21","126"
"2022-10-07","2,440","2,460","-20","0.80","148"
"2022-10-05","2,500","2,480","20","0.81","136"
"2022-10-04","2,490","2,460","30","1.23","135"
"2022-10-03","2,410","2,430","-20","0.81","117"
"2022-09-30","2,440","2,450","-10","0.40","145"
"2022-09-29","2,490","2,460","30","1.23","123"
"2022-09-28","2,440","2,430","10","0.41","133"
"2022-09-27","2,410","2,420","-10","0.41","110"
"2022-09-26","2,400","2,430","-30","1.21","127"
"2022-09-23","2,450","2,460","-10","0.40","120"
"2022-09-22","2,460","2,470","-10","0.40","111"
"2022-09-21","2,520","2,480","40","1.63","137"
"2022-09-20","2,460","2,440","20","0.82","160"
