"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-12-30","85","91","-6","6.18","28,019,208"
"2022-12-29","103","97","6","6.59","41,039,055"
"2022-12-28","93","92","1","1.09","18,411,091"
"2022-12-27","100","91","9","10.97","27,822,848"
"2022-12-26","78","82","-4","4.65","17,991,249"
"2022-12-23","83","86","-3","3.37","14,687,305"
"2022-12-22","87","88","-1","1.12","10,679,552"
"2022-12-21","91","89","2","2.29","26,871,308"
"2022-12-20","82","87","-5","5.43","33,505,494"
"2022-12-19","88","92","-4","4.16","19,576,457"
"2022-12-16","95","96","-1","1.03","24,250,298"
"2022-12-15","100","97","3","3.19","33,604,771"
"2022-12-14","88","94","-6","6.00","86,219,784"
"2022-12-13","113","100","13","14.94","261,861,890"
"2022-12-12","81","87","-6","6.45","2,806,809"
"2022-12-09","86","93","-7","7.00","2,805,230"
"2022-12-08","93","100","-7","6.54","4,784,174"
"2022-12-07","99","107","-8","6.95","2,410,118"
"2022-12-06","107","115","-8","6.50","1,899,985"
"2022-12-05","114","123","-9","6.81","1,742,048"
"2022-12-02","123","132","-9","6.38","1,949,737"
"2022-12-01","131","141","-10","6.62","4,618,607"
"2022-11-30","140","151","-11","6.79","31,726,384"
"2022-11-29","151","162","-11","6.35","16,727,253"
"2022-11-28","161","173","-12","6.48","16,469,590"
"2022-11-25","182","185","-3","1.59","8,769,423"
"2022-11-24","185","188","-3","1.57","7,046,687"
"2022-11-23","186","191","-5","2.55","8,805,683"
"2022-11-22","182","196","-14","6.66","15,945,247"
"2022-11-21","198","210","-12","5.40","10,147,508"
"2022-11-18","230","222","8","3.73","14,024,844"
"2022-11-17","210","214","-4","1.83","5,164,098"
"2022-11-16","232","218","14","6.86","12,767,047"
"2022-11-15","200","202","-2","0.98","1,265,790"
"2022-11-14","198","204","-6","2.85","7,543,897"
"2022-11-11","232","210","22","11.70","20,481,845"
"2022-11-10","177","188","-11","5.52","12,093,645"
"2022-11-09","204","199","5","2.57","5,829,700"
"2022-11-08","191","194","-3","1.52","2,830,816"
"2022-11-07","194","197","-3","1.50","5,534,477"
"2022-11-04","212","206","6","3.00","2,105,158"
"2022-11-03","205","200","5","2.56","16,548,758"
"2022-11-02","206","195","11","5.97","7,666,941"
"2022-11-01","182","184","-2","1.07","4,850,812"
"2022-10-31","183","186","-3","1.58","6,129,493"
"2022-10-28","180","189","-9","4.54","6,920,902"
"2022-10-27","199","198","1","0.50","8,715,557"
"2022-10-26","201","197","4","2.07","16,788,739"
"2022-10-25","196","193","3","1.57","16,143,214"
"2022-10-24","180","190","-10","5.00","13,507,194"
"2022-10-21","194","200","-6","2.91","7,570,025"
"2022-10-20","208","206","2","0.98","14,576,619"
"2022-10-19","202","204","-2","0.97","4,696,067"
"2022-10-18","204","206","-2","0.96","6,336,481"
"2022-10-17","214","208","6","2.97","10,043,786"
"2022-10-14","192","202","-10","4.71","8,992,501"
"2022-10-13","206","212","-6","2.75","6,818,906"
"2022-10-12","208","218","-10","4.38","7,230,784"
"2022-10-11","214","228","-14","5.78","6,639,460"
"2022-10-10","240","242","-2","0.81","2,073,445"
"2022-10-07","242","244","-2","0.81","3,628,530"
"2022-10-06","250","246","4","1.65","9,274,693"
"2022-10-05","246","242","4","1.68","5,855,801"
"2022-10-04","242","240","2","0.84","791,457"
"2022-10-03","230","238","-8","3.25","6,160,234"
"2022-09-30","242","246","-4","1.60","8,031,709"
